id,base_case_id,text,label,scam_type,severity,reason,evidence_span,recommended_action,risk_factor,harm_type,target_group,region_variant,noise_type,source,license,is_synthetic,privacy_level,split,source_url,context_style,quality_note
SELF_000011,SELF_INVESTMENT_0003,"Mot bai canh bao tren mang xa hoi tom tat su viec: nguoi la noi nguoi cao tuoi co tien nhan roi nen gui vao goi loi nhuan on dinh. Noi dung sau do chuyen sang yeu cau yeu cau ba nap 3 trieu de kich hoat tai khoang VIP. Ho cam ket loi nhuan 20-30% moi tuan, nghe rat bat thuong. Bai viet khuyen nguoi doc nen xac mih voi nguoi than truoc khi lam theo.",SCAM,INVESTMENT,HIGH,"Hứa lợi nhuận cao bất thường, cam kết không rủi ro và yêu cầu nạp tiền.",lợi nhuận cao; cam kết lãi; nạp tiền; chuyên gia hỗ trợ,Không nạp tiền vào sàn/nhóm đầu tư không rõ pháp lý. Hỏi người thân hoặc chuyên gia tài chính.,greed; false_promise; social_proof,financial_loss,elderly,SOUTH,TYPO,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,SOCIAL_WARNING,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000012,SELF_FAKE_POLICE_0001,"Chú kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này giả danh viện kiểm sát và đọc một số thông tin cá nhân để tạo lòng tin, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ bắt chú cài ứng dụng lạ để khai báo tài sản và số dư ngân hàng. Người gọi giữ máy nhiều giờ, không cho chú có thời gian hỏi ai khác. Please check now.",SCAM,FAKE_POLICE,HIGH,Giả danh công an/viện kiểm sát/tòa án để đe dọa và yêu cầu chuyển tiền.,công an; viện kiểm sát; vụ án; chuyển tiền; không được nói với ai,Không chuyển tiền. Cúp máy và liên hệ công an địa phương hoặc người thân để xác minh.,authority_impersonation; fear; secrecy; urgency,financial_loss; psychological_pressure,elderly,SOUTH,CODE_SWITCHING,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,test,https://congly.vn/canh-giac-thu-doan-gia-danh-can-bo-de-lua-dao-nguoi-cao-tuoi-523282.html,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000013,SELF_PHISHING_LINK_0002,Bai chia se mo ta mot truong hop nguoi cao tuoi nhan duoc cuoc goi la: nguoi goi gui tin nhan bao don hang giao khong thanh cong va can cap nhat dia chi. Sau do ho yeu cau chu bam vao <LINK> de dang nhap va cap nhat thong tin. Tin nhan ghi ho so se het han sau 30 phut neu khong xac mih. Gia dinh nghi ngo day la tinh huong lua dao vi noi dung tao ap luc va yeu cau hanh dong lien quan den tien hoac thong tin nhay cam.,SCAM,PHISHING_LINK,HIGH,Dụ bấm link lạ để đăng nhập/cập nhật thông tin và đánh cắp dữ liệu.,<LINK>; bấm link; cập nhật thông tin; đăng nhập,Không bấm link lạ. Mở ứng dụng chính thức hoặc gõ trực tiếp địa chỉ website chính thức.,technical_confusion; urgency; false_promise,credential_theft; privacy_leak; malware_install,elderly,STANDARD,TYPO,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,valid,https://tiengchuong.chinhphu.vn/bo-cong-an-canh-bao-24-thu-doan-lua-dao-tren-khong-gian-mang-113230711094917091.htm,ARTICLE_SHARE,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000014,SELF_EMERGENCY_MONEY_0001,"Một bài cảnh báo trên mạng xã hội tóm tắt sự việc: người lạ dùng giọng nói trong cuộc gọi nghe giống người thân nhưng không chịu bật video rõ mặt. Nội dung sau đó chuyển sang yêu cầu xin bác chuyển gấp 5 triệu vào <BANK_ACCOUNT>. Tin nhắn thúc liên tục, mỗi vài phút lại hỏi đã chuyển chưa. Bài viết khuyên người đọc nên xác minh với người thân trước khi làm theo.",SCAM,EMERGENCY_MONEY,HIGH,Giả danh người thân hoặc dùng tình huống khẩn cấp để yêu cầu chuyển tiền.,đang cấp cứu; chuyển gấp; đừng gọi lại; cần tiền ngay,Không chuyển tiền vội. Gọi trực tiếp cho người thân qua số quen thuộc hoặc hỏi người trong gia đình.,trust_abuse; urgency; secrecy; fear,financial_loss,elderly,STANDARD,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,SOCIAL_WARNING,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000015,SELF_PRIZE_GIFT_0001,Bài chia sẻ mô tả một trường hợp người cao tuổi nhận được cuộc gọi lạ: người gọi nói chú trúng quà tri ân vì là khách hàng may mắn. Sau đó họ yêu cầu đóng thuế/quỹ hồ sơ trước khi trao thưởng. Họ dặn chú chuyển phí nhỏ trước để nhận món quà lớn. Gia đình nghi ngờ đây là tình huống lừa đảo vì nội dung tạo áp lực và yêu cầu hành động liên quan đến tiền hoặc thông tin nhạy cảm.,SCAM,PRIZE_GIFT,HIGH,Lấy lý do trúng thưởng/nhận quà để yêu cầu đóng phí hoặc cung cấp thông tin.,trúng thưởng; nhận quà; phí vận chuyển; thông tin cá nhân,Không chuyển phí nhận thưởng. Kiểm tra chương trình trên kênh chính thức.,greed; false_promise; urgency,financial_loss; privacy_leak,elderly,NORTH,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,ARTICLE_SHARE,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000016,SELF_TRAVEL_COMBO_0002,"Doan tin nhan bat dau bang loi hoi tham suc khoe cua bac, sau do nguoi gui ho gui anh phong dep va danh gia ao de bac tin la chuong trinh that. Trong cac tin tiep theo, ho de nghi thanh toan toan bo de duoc giam them. Ho nhan manh neu cham vai phut se mat suat khuyen mai.",SCAM,TRAVEL_COMBO,MEDIUM,"Rao combo du lịch/khách sạn giá rẻ bất thường, yêu cầu đặt cọc nhanh.",combo giá rẻ; đặt cọc; giữ chỗ; chuyển khoản,"Không đặt cọc qua tài khoản cá nhân. Kiểm tra fanpage, website, giấy phép và đánh giá thật.",false_promise; scarcity; urgency,financial_loss,elderly,STANDARD,NO_DIACRITICS,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,MESSAGE_THREAD,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000017,SELF_JOB_SCAM_0002,"Chú kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này giả danh sàn thương mại điện tử tuyển người xử lý đơn hàng, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ đề nghị chú tăng số tiền nhiệm vụ để được rút hoa hồng. Sau đó số tiền nhiệm vụ tăng nhanh và không cho rút nếu chưa nạp thêm.",SCAM,JOB_SCAM,MEDIUM,"Lừa tuyển cộng tác viên/việc nhẹ lương cao, yêu cầu nạp tiền hoặc làm nhiệm vụ.",việc nhẹ lương cao; nạp tiền; nhiệm vụ; hoàn tiền,Không đóng phí để nhận việc. Kiểm tra thông tin công ty và hợp đồng rõ ràng.,financial_pressure; false_promise; gamification,financial_loss,elderly,SOUTH,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,test,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000018,SELF_TRAVEL_COMBO_0003,"Một bài cảnh báo trên mạng xã hội tóm tắt sự việc: người lạ người tư vấn nói khách sạn đang khuyến mãi nội bộ nên không công khai lâu. Nội dung sau đó chuyển sang yêu cầu đề nghị thanh toán toàn bộ để được giảm thêm. Khi hỏi hợp đồng, họ chỉ gửi ảnh voucher không có xác nhận chính thức. Bài viết khuyên người đọc nên xác minh với người thân trước khi làm theo.",SCAM,TRAVEL_COMBO,MEDIUM,"Rao combo du lịch/khách sạn giá rẻ bất thường, yêu cầu đặt cọc nhanh.",combo giá rẻ; đặt cọc; giữ chỗ; chuyển khoản,"Không đặt cọc qua tài khoản cá nhân. Kiểm tra fanpage, website, giấy phép và đánh giá thật.",false_promise; scarcity; urgency,financial_loss,elderly,NORTH,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,SOCIAL_WARNING,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000019,SELF_FAKE_POLICE_0002,"Cô kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này nói cô liên quan đến vụ án ma túy, cần phối hợp bí mật qua điện thoại, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ bảo cô ra ngân hàng rút sổ tiết kiệm rồi chuyển vào account điều tra. Họ nói nếu chậm trễ thì công an sẽ đến nhà đọc lệnh bắt.",SCAM,FAKE_POLICE,HIGH,Giả danh công an/viện kiểm sát/tòa án để đe dọa và yêu cầu chuyển tiền.,công an; viện kiểm sát; vụ án; chuyển tiền; không được nói với ai,Không chuyển tiền. Cúp máy và liên hệ công an địa phương hoặc người thân để xác minh.,authority_impersonation; fear; secrecy; urgency,financial_loss; psychological_pressure,elderly,SOUTH,CODE_SWITCHING,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://congly.vn/canh-giac-thu-doan-gia-danh-can-bo-de-lua-dao-nguoi-cao-tuoi-523282.html,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000020,SELF_ROMANCE_SCAM_0002,Một bài cảnh báo trên mạng xã hội tóm tắt sự việc: người lạ một người quen qua mạng nói rất quan tâm bác và thường xuyên hỏi thăm sức khỏe. Nội dung sau đó chuyển sang yêu cầu nhờ bác đóng phí hải quan để nhận kiện quà có tiền và trang sức. Câu chuyện thay đổi liên tục nhưng luôn dẫn đến việc cần tiền. Bài viết khuyên người đọc nên xác minh với người thân trước khi làm theo.,SCAM,ROMANCE_SCAM,MEDIUM,"Lợi dụng tình cảm/lòng tin để xin tiền, quà hoặc thông tin cá nhân.",quen qua mạng; gửi quà; phí hải quan; cần tiền gấp,Không chuyển tiền cho người quen qua mạng chưa gặp ngoài đời. Hỏi người thân trước khi quyết định.,trust_abuse; emotional_manipulation; false_promise,financial_loss; psychological_pressure,elderly,CENTRAL,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,test,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,SOCIAL_WARNING,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000021,SELF_ROMANCE_SCAM_0003,"Chu ke lai rang co nguoi goi dien trong luc o nha mot minh. Nguoi nay nguoi do tu gioi thieu dang song o nuoc ngoai, muon gui qua ve Viet Nam, noi chuyen rat tu tin va dung nhieu tu ngu giong co quan chinh thuc. Tiep theo ho xin chu chuyen tien xu ly giay to vi tai khoang dang bi khoa. Ho dung loi le tinh cam, khien chu ngai tu choi.",SCAM,ROMANCE_SCAM,MEDIUM,"Lợi dụng tình cảm/lòng tin để xin tiền, quà hoặc thông tin cá nhân.",quen qua mạng; gửi quà; phí hải quan; cần tiền gấp,Không chuyển tiền cho người quen qua mạng chưa gặp ngoài đời. Hỏi người thân trước khi quyết định.,trust_abuse; emotional_manipulation; false_promise,financial_loss; psychological_pressure,elderly,NORTH,TYPO,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,test,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000022,SELF_DEEPFAKE_CALL_0002,"Doan tin nhan bat dau bang loi hoi tham suc khoe cua o, sau do nguoi gui giong noi trong cuoc goi nghe giong con cua o, noi dang gap viec gap. Trong cac tin tiep theo, ho de nghi o gui ma xac nhan de lay lai tai khoang cho nguoi than. Khi o hoi them, nguoi kia ne tranh va chi thuc chuyen tien.",SCAM,DEEPFAKE_CALL,HIGH,Dùng cuộc gọi video/giọng nói giống người quen để yêu cầu tiền hoặc thông tin.,video mờ; giọng giống người thân; chuyển gấp; không gọi lại,Gọi lại bằng số quen thuộc hoặc hỏi câu riêng tư để xác minh. Không chuyển tiền trong lúc cuộc gọi chưa rõ.,trust_abuse; urgency; technical_deception,financial_loss,elderly,CENTRAL,TYPO,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,MESSAGE_THREAD,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000023,SELF_PHISHING_LINK_0003,"Bác kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này nói tài khoản mạng xã hội của bác bị báo cáo vi phạm nên phải xác minh, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ đề nghị bác nhập thông tin thẻ để nhận khoản hoàn tiền. Họ nhấn mạnh đây là bước bắt buộc để tránh khóa tài khoản.",SCAM,PHISHING_LINK,HIGH,Dụ bấm link lạ để đăng nhập/cập nhật thông tin và đánh cắp dữ liệu.,<LINK>; bấm link; cập nhật thông tin; đăng nhập,Không bấm link lạ. Mở ứng dụng chính thức hoặc gõ trực tiếp địa chỉ website chính thức.,technical_confusion; urgency; false_promise,credential_theft; privacy_leak; malware_install,elderly,NORTH,NONE,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,valid,https://tiengchuong.chinhphu.vn/bo-cong-an-canh-bao-24-thu-doan-lua-dao-tren-khong-gian-mang-113230711094917091.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
SELF_000024,SELF_HEALTH_PRODUCT_0004,"Bác kể lại rằng có người gọi điện trong lúc ở nhà một mình. Người này người bán hứa vừa dùng sản phẩm vừa giới thiệu người khác sẽ có hoa hồng, nói chuyện rất tự tin và dùng nhiều từ ngữ giống cơ quan chính thức. Tiếp theo họ bảo bác ck để nhận suất ưu đãi dành riêng cho người cao tuổi. Họ nói ưu đãi chỉ áp dụng tại chỗ và ko cho mang tài liệu về hỏi bác sĩ.",SCAM,HEALTH_PRODUCT,MEDIUM,Dụ người cao tuổi mua sản phẩm sức khỏe/đa cấp bằng cam kết chữa bệnh hoặc lợi nhuận.,hội thảo miễn phí; thuốc chữa bệnh; đặt cọc; lợi nhuận,Không mua thuốc/sản phẩm sức khỏe không rõ nguồn. Hỏi bác sĩ hoặc người thân trước.,health_anxiety; false_promise; social_proof,financial_loss; health_risk,elderly,CENTRAL,ABBREVIATION,self_created_long_context_based_on_public_warning_taxonomy,self-created,true,no_pii,train,https://baochinhphu.vn/nhan-dien-24-hinh-thuc-lua-dao-truc-tuyen-cung-nhieu-hinh-thuc-dan-du-khac-nhau-102230703162727607.htm,CALL_SUMMARY,Detailed synthetic Vietnamese context; no real PII; not copied from articles/posts.
