public_selected_id,source,source_license,original_id,original_language,original_label,source_scam_type,mapped_label,scam_type,score,hard_neg_score,selection_reason,original_text
PUBSEL_000013,mendeley_sms_phishing,CC BY 4.0,MEN_000434,English,Smishing,,SCAM,PRIZE_GIFT,11,1,Mendeley smishing with scam-related keywords,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C <LINK> LCCLTD POBOX 4403LDNW1A7RW18"
PUBSEL_000014,mendeley_sms_phishing,CC BY 4.0,MEN_004087,English,Smishing,,SCAM,PAYMENT_SCAM,11,3,Mendeley smishing with scam-related keywords,URGENT: IRELAND GOV has issued a payment of 350 � to all residents as part of its promise to battle COVID 19. Tap here to apply: <LINK>
PUBSEL_000015,mendeley_sms_phishing,CC BY 4.0,MEN_004449,English,Smishing,,SCAM,PRIZE_GIFT,11,1,Mendeley smishing with scam-related keywords,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C <LINK>"
PUBSEL_000016,mendeley_sms_phishing,CC BY 4.0,MEN_002032,English,Smishing,,SCAM,OTP_BANK,11,2,Mendeley smishing with scam-related keywords,We regret to inform you that your NAB card is now locked. To unlock please update security details at <LINK>
PUBSEL_000017,mendeley_sms_phishing,CC BY 4.0,MEN_005676,English,Smishing,,SCAM,PRIZE_GIFT,10,2,Mendeley smishing with scam-related keywords,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//<LINK> <PHONE>"
PUBSEL_000018,mendeley_sms_phishing,CC BY 4.0,MEN_001443,English,Smishing,,SCAM,PRIZE_GIFT,10,1,Mendeley smishing with scam-related keywords,"Congratulations, Your entry into our contest last month made you a WINNER! Goto <LINK> claim your prize! You have 24 hours to claim"
PUBSEL_000019,mendeley_sms_phishing,CC BY 4.0,MEN_000736,English,Smishing,,SCAM,OTP_BANK,10,3,Mendeley smishing with scam-related keywords,A transaction of AUD 590.3 was made with your bank account on 08/02/17 11:17:37 if unauthorised follow this link <LINK>
PUBSEL_000020,mendeley_sms_phishing,CC BY 4.0,MEN_000371,English,Smishing,,SCAM,OTP_BANK,10,2,Mendeley smishing with scam-related keywords,BMO have noticed unusual activites on your online account. You are required to verify your account details.<LINK>
PUBSEL_000021,mendeley_sms_phishing,CC BY 4.0,MEN_000187,English,Smishing,,SCAM,OTP_BANK,10,3,Mendeley smishing with scam-related keywords,Here is your discount code RP176781. To stop further messages reply stop. <LINK> Customer Services <PHONE>
PUBSEL_000022,mendeley_sms_phishing,CC BY 4.0,MEN_001297,English,Smishing,,SCAM,OTP_BANK,10,2,Mendeley smishing with scam-related keywords,"""For the most sparkling shopping breaks from 45 per person; call <PHONE> or visit <LINK>"
PUBSEL_000023,mendeley_sms_phishing,CC BY 4.0,MEN_003330,English,Smishing,,SCAM,OTP_BANK,9,4,Mendeley smishing with scam-related keywords,"GOV.UK ALERT CORONAVIRUS It has come to our attention that you have been out of the house more than once. Due to this irresponsible behaviour, we are issuing you a formal warning and �250 fine. If this continues, the fine could increase to a maximum of �5000 and/or an arrest. Payment will be taken automatically out of your account. Call <PHONE> for any enquiries or to appeal."
PUBSEL_000024,mendeley_sms_phishing,CC BY 4.0,MEN_001925,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.4,00,000 prize GUARANTEED. Call <PHONE>. Claim Code LUCKY52. Valid 12hrs only."
PUBSEL_000025,mendeley_sms_phishing,CC BY 4.0,MEN_000270,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call <PHONE>. Claim Code FLIP02. Valid 12hrs only."
PUBSEL_000026,mendeley_sms_phishing,CC BY 4.0,MEN_000353,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.5,00,000 prize GUARANTEED. Call <PHONE>. Claim Code FLIP82. Valid 12hrs only."
PUBSEL_000027,mendeley_sms_phishing,CC BY 4.0,MEN_001291,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.6,00,000 prize GUARANTEED. Call <PHONE>. Claim Code FLIP52. Valid 12hrs only."
PUBSEL_000028,mendeley_sms_phishing,CC BY 4.0,MEN_001706,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.10,00,000 prize GUARANTEED. Call <PHONE>. Claim Code K52. Valid 12hrs only."
PUBSEL_000029,mendeley_sms_phishing,CC BY 4.0,MEN_005428,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.8,00,000 prize GUARANTEED. Call <PHONE>. Claim Code N32. Valid 12hrs only."
PUBSEL_000030,mendeley_sms_phishing,CC BY 4.0,MEN_004900,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.7,00,000 prize GUARANTEED. Call <PHONE>. Claim Code L92 Valid 12hrs only."
PUBSEL_000031,mendeley_sms_phishing,CC BY 4.0,MEN_003123,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call <PHONE>. Claim Code K52. Valid 12hrs only. 150ppm
PUBSEL_000032,mendeley_sms_phishing,CC BY 4.0,MEN_003649,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call <PHONE>. Claim code K61. Valid 12hours only
PUBSEL_000033,mendeley_sms_phishing,CC BY 4.0,MEN_002089,English,Smishing,,SCAM,OTP_BANK,9,3,Mendeley smishing with scam-related keywords,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call <PHONE>. Claim code KL341. Valid 12 hours only.
PUBSEL_000034,mendeley_sms_phishing,CC BY 4.0,MEN_003130,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call <PHONE>. Claim code S89. Valid 12hrs only
PUBSEL_000035,mendeley_sms_phishing,CC BY 4.0,MEN_000574,English,Smishing,,SCAM,OTP_BANK,9,3,Mendeley smishing with scam-related keywords,We have identified some unusual activity on your Online Banking. Log in via the secure link http:/<PHONE>:81/default.aspx�to avoid account suspension.
PUBSEL_000036,mendeley_sms_phishing,CC BY 4.0,MEN_002109,English,Smishing,,SCAM,PRIZE_GIFT,9,2,Mendeley smishing with scam-related keywords,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call <PHONE> to claim TS&Cs <LINK> cost£3.75max
PUBSEL_000037,mendeley_sms_phishing,CC BY 4.0,MEN_001952,English,Smishing,,SCAM,OTP_BANK,9,2,Mendeley smishing with scam-related keywords,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call <PHONE> Claim code K52 Valid 12hrs 150p pm
PUBSEL_000038,mendeley_sms_phishing,CC BY 4.0,MEN_001323,English,Smishing,,SCAM,FAKE_POLICE,9,3,Mendeley smishing with scam-related keywords,"(Help-Center Canada) You received a Transfer from The Government due to the CoronaVirus pandemic, Click:<LINK> to fill out your Application."
PUBSEL_000039,mendeley_sms_phishing,CC BY 4.0,MEN_000258,English,Smishing,,SCAM,OTP_BANK,9,3,Mendeley smishing with scam-related keywords,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call <PHONE>. Claim code KL345.
PUBSEL_000040,mendeley_sms_phishing,CC BY 4.0,MEN_005315,English,Smishing,,SCAM,PRIZE_GIFT,9,1,Mendeley smishing with scam-related keywords,HMRC GOVUK:0ur records show that your tax refund of �398.90 can now be claime. Please continue via:<LINK> claim your refund.
PUBSEL_000041,mendeley_sms_phishing,CC BY 4.0,MEN_004030,English,Smishing,,SCAM,PHISHING_LINK,9,2,Mendeley smishing with scam-related keywords,"Your K.Y.C has been updated successfully, you will get 1205 cashback in your wallet, To get cashback click here Link <LINK>"
PUBSEL_000042,mendeley_sms_phishing,CC BY 4.0,MEN_003910,English,Smishing,,SCAM,PRIZE_GIFT,9,1,Mendeley smishing with scam-related keywords,"In the Open Lucky Draw Contest And You Are The Winner 0f Tata Saafari (12,60000). Contact-<PHONE>. More Information <LINK>"
PUBSEL_000043,mendeley_sms_phishing,CC BY 4.0,MEN_005076,English,Smishing,,SCAM,PRIZE_GIFT,9,1,Mendeley smishing with scam-related keywords,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit <LINK>"
PUBSEL_000044,mendeley_sms_phishing,CC BY 4.0,MEN_002147,English,smishing,,SCAM,PRIZE_GIFT,9,1,Mendeley smishing with scam-related keywords,"WIN: We have a winner! Mr. T. Tilo won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit <LINK>"
PUBSEL_000045,mendeley_sms_phishing,CC BY 4.0,MEN_004892,English,Smishing,,SCAM,PRIZE_GIFT,8,2,Mendeley smishing with scam-related keywords,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call <PHONE> Ts&Cs <LINK> £1.50pm approx 3mins
PUBSEL_000046,mendeley_sms_phishing,CC BY 4.0,MEN_002825,English,smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto <LINK> there is a fantastic surprise awaiting you !"
PUBSEL_000047,mendeley_sms_phishing,CC BY 4.0,MEN_005054,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO <LINK> THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
PUBSEL_000048,mendeley_sms_phishing,CC BY 4.0,MEN_000048,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�<LINK> Apple Inc
PUBSEL_000049,mendeley_sms_phishing,CC BY 4.0,MEN_000469,English,Smishing,,SCAM,LOAN_SCAM,8,2,Mendeley smishing with scam-related keywords,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> <LINK> xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
PUBSEL_000050,mendeley_sms_phishing,CC BY 4.0,MEN_004565,English,Smishing,,SCAM,PRIZE_GIFT,8,2,Mendeley smishing with scam-related keywords,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop <LINK>
PUBSEL_000051,mendeley_sms_phishing,CC BY 4.0,MEN_004881,English,Smishing,,SCAM,OTP_BANK,8,2,Mendeley smishing with scam-related keywords,"Dear Sir Your Bank card has been blocked because you did not updated yet, If you want to update your ATM card please contact <PHONE> <PHONE>"
PUBSEL_000052,mendeley_sms_phishing,CC BY 4.0,MEN_002621,English,Smishing,,SCAM,PRIZE_GIFT,8,1,Mendeley smishing with scam-related keywords,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO <LINK> THERE'S A FANTASTIC PRIZEAWAITING YOU!
PUBSEL_000053,mendeley_sms_phishing,CC BY 4.0,MEN_003953,English,Smishing,,SCAM,PRIZE_GIFT,8,2,Mendeley smishing with scam-related keywords,"If you don't, your prize will go to another customer. T&C at <LINK> 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
PUBSEL_000054,mendeley_sms_phishing,CC BY 4.0,MEN_005069,English,Smishing,,SCAM,FAKE_POLICE,8,1,Mendeley smishing with scam-related keywords,You have an outstanding tax refund of 578.44G8P for the tax year 15/16. Please fill out the following form to process your refund <LINK>
PUBSEL_000055,mendeley_sms_phishing,CC BY 4.0,MEN_001314,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 <LINK> 2optout <PHONE>.50gbp/mtmsg18"
PUBSEL_000056,mendeley_sms_phishing,CC BY 4.0,MEN_004321,English,Smishing,,SCAM,PHISHING_LINK,8,2,Mendeley smishing with scam-related keywords,You are being ripped off! Get your mobile content from <LINK> call <PHONE> poly/true/Pix/Ringtones/Games six downloads for only 3
PUBSEL_000057,mendeley_sms_phishing,CC BY 4.0,MEN_004499,English,Smishing,,SCAM,PRIZE_GIFT,8,3,Mendeley smishing with scam-related keywords,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs <LINK> custcare <PHONE>.
PUBSEL_000058,mendeley_sms_phishing,CC BY 4.0,MEN_001478,English,Smishing,,SCAM,LOAN_SCAM,8,2,Mendeley smishing with scam-related keywords,Your B4U voucher w/c 27/03 is MARSMS. Log onto <LINK> for discount credit. To opt out reply stop. Customer care call <PHONE>
PUBSEL_000059,mendeley_sms_phishing,CC BY 4.0,MEN_002617,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,you'hv completed a transaction for AUD 788.93 on 06/02/<PHONE> pm. Please follow the link if it is not done by you <LINK>
PUBSEL_000060,mendeley_sms_phishing,CC BY 4.0,MEN_002998,English,Smishing,,SCAM,PHISHING_LINK,8,4,Mendeley smishing with scam-related keywords,Your SAM registration has been received! Click here to complete the process�<LINK> Reply STOP 2 opt out of future texts
PUBSEL_000061,mendeley_sms_phishing,CC BY 4.0,MEN_002854,English,Smishing,,SCAM,PRIZE_GIFT,8,2,Mendeley smishing with scam-related keywords,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. <LINK>
PUBSEL_000062,mendeley_sms_phishing,CC BY 4.0,MEN_000213,English,Smishing,,SCAM,PRIZE_GIFT,8,2,Mendeley smishing with scam-related keywords,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C <LINK> cust care <PHONE>.
PUBSEL_000063,mendeley_sms_phishing,CC BY 4.0,MEN_001908,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,Friendly reminder don't forget to confirm your SAM update from the other day!�<LINK> Reply STOP to opt out
PUBSEL_000064,mendeley_sms_phishing,CC BY 4.0,MEN_003111,English,Smishing,,SCAM,OTP_BANK,8,2,Mendeley smishing with scam-related keywords,Uw ING bankieren app bevat verouderde plugins. klik hieronder om de beveiligde versie te downloaden <LINK>
PUBSEL_000065,mendeley_sms_phishing,CC BY 4.0,MEN_003397,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,Friendly reminder- don't forget to confirm your SAM update from the other day!�<LINK> GBs630y
PUBSEL_000066,mendeley_sms_phishing,CC BY 4.0,MEN_002936,English,Smishing,,SCAM,PHISHING_LINK,8,1,Mendeley smishing with scam-related keywords,"Collect 100 points& get 14,500 Pokecoins for Pokemon Gol"" by clicking this link now�<LINK>"
PUBSEL_000067,mendeley_sms_phishing,CC BY 4.0,MEN_001457,English,Smishing,,SCAM,PRIZE_GIFT,8,1,Mendeley smishing with scam-related keywords,"If you don't, your prize will go to another customer. T&C at <LINK> 18+ 150p/min Polo Ltd"
PUBSEL_000068,mendeley_sms_phishing,CC BY 4.0,MEN_003805,English,Smishing,,SCAM,PHISHING_LINK,8,2,Mendeley smishing with scam-related keywords,Bloomberg -Message center <PHONE> Why wait? Apply for your future <LINK> bloomberg.com
PUBSEL_000069,mendeley_sms_phishing,CC BY 4.0,MEN_000005,English,Smishing,,SCAM,OTP_BANK,8,2,Mendeley smishing with scam-related keywords,BankOfAmerica Alert 137943. Please follow <LINK> re-activate
PUBSEL_000070,mendeley_sms_phishing,CC BY 4.0,MEN_003410,English,Smishing,,SCAM,OTP_BANK,7,3,Mendeley smishing with scam-related keywords,"Dear Customer Your order of 42.84 Euro has been approved if you didnt purchased anything or it you believe an unauthorized person has accessed your account, please access the link below http:/<PHONE>:81/orders.aspx"
PUBSEL_000071,mendeley_sms_phishing,CC BY 4.0,MEN_001334,English,Smishing,,SCAM,PRIZE_GIFT,7,1,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call <PHONE> from land line. Claim 3030. Valid 12hrs only
PUBSEL_000072,mendeley_sms_phishing,CC BY 4.0,MEN_002949,English,Smishing,,SCAM,OTP_BANK,7,2,Mendeley smishing with scam-related keywords,Urgent Ur £500 guaranteed award is still unclaimed! Call <PHONE> NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
PUBSEL_000073,mendeley_sms_phishing,CC BY 4.0,MEN_003100,English,Smishing,,SCAM,PRIZE_GIFT,7,1,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call <PHONE> from land line. Claim Y87. Valid 12hrs only
PUBSEL_000074,mendeley_sms_phishing,CC BY 4.0,MEN_005707,English,Smishing,,SCAM,OTP_BANK,7,2,Mendeley smishing with scam-related keywords,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call <PHONE>. Claim Code K52. Valid 12hrs only. 150ppm
PUBSEL_000075,mendeley_sms_phishing,CC BY 4.0,MEN_002191,English,Smishing,,SCAM,PRIZE_GIFT,7,1,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call <PHONE> from land line. Claim A21. Valid 12hrs only
PUBSEL_000076,mendeley_sms_phishing,CC BY 4.0,MEN_004003,English,Smishing,,SCAM,PRIZE_GIFT,7,1,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call <PHONE> from land line. Claim C52. Valid 12hrs only
PUBSEL_000077,mendeley_sms_phishing,CC BY 4.0,MEN_000680,English,Smishing,,SCAM,PRIZE_GIFT,7,1,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call <PHONE> from land line. Claim M95. Valid12hrs only
PUBSEL_000078,mendeley_sms_phishing,CC BY 4.0,MEN_000852,English,Smishing,,SCAM,PRIZE_GIFT,7,1,Mendeley smishing with scam-related keywords,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call <PHONE> from land line. Claim J89. po box245c2150pm
PUBSEL_000079,mendeley_sms_phishing,CC BY 4.0,MEN_002944,English,Smishing,,SCAM,OTP_BANK,7,3,Mendeley smishing with scam-related keywords,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call <PHONE> Identifier Code: 45239 Expires <PHONE>
PUBSEL_000080,mendeley_sms_phishing,CC BY 4.0,MEN_004672,English,Smishing,,SCAM,OTP_BANK,7,3,Mendeley smishing with scam-related keywords,We have identified some unusual activity on your online banking. Please log in via the secure link http:owly/nPyL308KyWG to avoid account suspension
PUBSEL_000081,mendeley_sms_phishing,CC BY 4.0,MEN_000857,English,spam,,SUSPICIOUS,PAYMENT_SCAM,11,5,Mendeley spam with phishing/spam indicators,Call Germany for only 1 pence per minute! Call from a fixed line via access number <PHONE>. No prepayment. Direct access! <LINK>
PUBSEL_000082,mendeley_sms_phishing,CC BY 4.0,MEN_005609,English,spam,,SUSPICIOUS,OTP_BANK,10,2,Mendeley spam with phishing/spam indicators,"SMS SERVICES. for your inclusive text credits, pls goto <LINK> login= ***** unsubscribe with STOP. no extra charge. help:<PHONE>. PO BOX420. IP4 5WE"
PUBSEL_000083,mendeley_sms_phishing,CC BY 4.0,MEN_003008,English,spam,,SUSPICIOUS,OTP_BANK,10,2,Mendeley spam with phishing/spam indicators,"SMS SERVICES. for your inclusive text credits, pls goto <LINK> login= 3qxj9 unsubscribe with STOP, no extra charge. help <PHONE>.COMUK. 220-CM2 9AE"
PUBSEL_000084,mendeley_sms_phishing,CC BY 4.0,MEN_002429,English,spam,,SUSPICIOUS,PRIZE_GIFT,10,2,Mendeley spam with phishing/spam indicators,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//<LINK> <PHONE>"
PUBSEL_000085,mendeley_sms_phishing,CC BY 4.0,MEN_001683,English,spam,,SUSPICIOUS,OTP_BANK,10,2,Mendeley spam with phishing/spam indicators,SMS SERVICES For your inclusive text credits pls gotto <LINK> login 3qxj9 unsubscribe with STOP no extra charge help <PHONE> comuk.220cm2 9AE
PUBSEL_000086,mendeley_sms_phishing,CC BY 4.0,MEN_004020,English,spam,,SUSPICIOUS,OTP_BANK,10,2,Mendeley spam with phishing/spam indicators,"SMS SERVICES. for your inclusive text credits, pls goto <LINK> login= 3qxj9 unsubscribe with STOP, no extra charge. help <PHONE>"
PUBSEL_000087,mendeley_sms_phishing,CC BY 4.0,MEN_004411,English,spam,,SUSPICIOUS,OTP_BANK,10,2,Mendeley spam with phishing/spam indicators,For the most sparkling shopping breaks from 45 per person; call <PHONE> or visit <LINK>
PUBSEL_000088,mendeley_sms_phishing,CC BY 4.0,MEN_005130,English,Spam,,SUSPICIOUS,PHISHING_LINK,8,1,Mendeley spam with phishing/spam indicators,NON-STOP INTERNET and DOWNLOADING with Pocket Internet. Dial *234*2900# and get Games at a special price of Rs.3 everyday. Click and play: <LINK>
PUBSEL_000089,mendeley_sms_phishing,CC BY 4.0,MEN_000483,English,spam,,SUSPICIOUS,LOAN_SCAM,8,2,Mendeley spam with phishing/spam indicators,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> <LINK> xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
PUBSEL_000090,mendeley_sms_phishing,CC BY 4.0,MEN_004404,English,spam,,SUSPICIOUS,PHISHING_LINK,8,1,Mendeley spam with phishing/spam indicators,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 <LINK> 2optout <PHONE>.50gbp/mtmsg18 TXTAUCTION"
PUBSEL_000091,mendeley_sms_phishing,CC BY 4.0,MEN_002930,English,spam,,SUSPICIOUS,PHISHING_LINK,8,1,Mendeley spam with phishing/spam indicators,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. <LINK> 2optout <PHONE>.50gbp/mtmsg18 TXTAUCTION."
PUBSEL_000092,mendeley_sms_phishing,CC BY 4.0,MEN_005226,English,spam,,SUSPICIOUS,PHISHING_LINK,8,2,Mendeley spam with phishing/spam indicators,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call <PHONE> to book you time. Calls1.50ppm last 3mins 30s T&C <LINK>
PUBSEL_000093,mendeley_sms_phishing,CC BY 4.0,MEN_002582,English,spam,,SUSPICIOUS,PHISHING_LINK,8,1,Mendeley spam with phishing/spam indicators,ONLY FOR GIRLS BBA/MBA/EXECUTIVE MBA/B.SC.IT/BIO TECH/B.TECH FLEXIBLE TIMINGS GOVT.RECOGNIZED(<LINK> JOIN BSAITM VIKASPURI <PHONE>/<PHONE>
